idx;name;geometryType;count;url
100;E. Primaire;esriGeometryPoint;205;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/NKT_500_WFL1/FeatureServer/16
101;Collége;esriGeometryPoint;24;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/NKT_500_WFL1/FeatureServer/15
102;Lycée;esriGeometryPoint;40;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/NKT_500_WFL1/FeatureServer/24
103;E/C/I Professionnel;esriGeometryPoint;71;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/NKT_500_WFL1/FeatureServer/12
104;Université ;esriGeometryPoint;14;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/NKT_500_WFL1/FeatureServer/14
105;Poste de Santé;esriGeometryPoint;27;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/NKT_500_WFL1/FeatureServer/28
106;Centre de Santé;esriGeometryPoint;26;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/NKT_500_WFL1/FeatureServer/27
107;Clinique parapublique;esriGeometryPoint;6;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/NKT_500_WFL1/FeatureServer/26
108;Hôpital;esriGeometryPoint;8;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/NKT_500_WFL1/FeatureServer/25
109;Limites_moughataa;esriGeometryPolygon;9;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/NKT_500_WFL1/FeatureServer/22
110;Population par Quadrillage 500 m x500 m;esriGeometryPolygon;1200;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/NKT_500_WFL1/FeatureServer/30
111;Education;esriGeometryPoint;3967;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Infra_app_WFL1/FeatureServer/13
112; Jardin d'enfant;esriGeometryPoint;286;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Infra_app_WFL1/FeatureServer/12
113;Ecole Coranique Mahadra;esriGeometryPoint;7187;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Infra_app_WFL1/FeatureServer/11
114;Santé;esriGeometryPoint;980;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Infra_app_WFL1/FeatureServer/8
115;Mosquée;esriGeometryPoint;11231;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Infra_app_WFL1/FeatureServer/16
116;Parc de vaccination;esriGeometryPoint;444;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Infra_app_WFL1/FeatureServer/15
117;Puit couvert;esriGeometryPoint;4153;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Infra_app_WFL1/FeatureServer/9
118; Forage et sondage;esriGeometryPoint;2048;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Infra_app_WFL1/FeatureServer/0
119;LocalitesMRT;esriGeometryPolygon;8447;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Carte_Infrastructures_Application2_WFL1/FeatureServer/0
120;Limite commune;esriGeometryPolygon;238;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Carte_Infrastructures_App_WFL1/FeatureServer/8
121;Limite moughataa;esriGeometryPolygon;63;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Carte_Infrastructures_App_WFL1/FeatureServer/9
122;Limite wilaya;esriGeometryPolygon;15;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Carte_Infrastructures_App_WFL1/FeatureServer/10
123;Infrastructures;;30296;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Infra_app_WFL1/FeatureServer/31
